Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,inkap_x_inkap,inkap_x_reckap
105.0,3.506227596143055e-07,3.983895014137842e-09,-0.01645449414508397,0.005237875083954448,1.3878960619916996e-07,1.1848717362539321e-07
255.0,1.5193087476021043e-07,1.0864711260458719e-09,-0.015194349112435338,0.002773365537807239,6.856161393077053e-08,6.274759154424988e-08
405.0,1.3422718055395364e-07,1.2922546448685456e-09,-0.018941961307609053,0.005846238803753786,3.9466711941217984e-08,3.696430002156079e-08
555.0,1.254888715824604e-07,1.0454122810369958e-09,-0.01924097323924647,0.007235046940753491,2.516659888178724e-08,2.371266259611169e-08
705.0,1.2439640653527992e-07,1.0445168783203506e-09,-0.013908691408246012,0.010327899336278142,1.7765680761445644e-08,1.6758294714709696e-08
855.0,1.2013219316207064e-07,9.388146066833278e-10,-0.015097979486958228,0.012786577060224848,1.3084868783745107e-08,1.2405226556796024e-08
1005.0,1.2279829478216223e-07,9.84626010262557e-10,-0.018502051933843404,0.01756736305558366,1.0194152847517297e-08,9.706579036796734e-09
1155.0,1.2268129400785763e-07,8.678598917798526e-10,-0.006182569945331107,0.01924909642009738,8.124054678866048e-09,7.665958086876924e-09
1305.0,1.2608380411504072e-07,8.43954200684427e-10,-0.01806902736952505,0.0225189702260556,6.64862142058249e-09,6.286523512621132e-09
1455.0,1.2581386233461718e-07,8.069649094495473e-10,0.013577506992853317,0.02592444508039036,5.5949560157589345e-09,5.3748577583982484e-09
1605.0,1.3220244300200593e-07,7.224345832397798e-10,-0.01916300462851021,0.027409870323330275,4.771966979369619e-09,4.5605161631330505e-09
1755.0,1.3861182791096957e-07,7.275665158990299e-10,-0.04056000681831198,0.03304229599558958,4.115963346473801e-09,3.874871201804822e-09
1905.0,1.5053104142390656e-07,8.208463202200139e-10,-0.026846060593360466,0.04137706042102806,3.6258038886014305e-09,3.5015205959551744e-09
2055.0,1.6021261841158014e-07,8.865105910329475e-10,0.009988704087710276,0.04979573051671457,3.1919906851695326e-09,3.030208035761795e-09
2205.0,1.838883491582896e-07,7.088993875354348e-10,-0.07989615686891877,0.046851577040091075,2.852624170147495e-09,2.710654841236791e-09
2355.0,2.3006249215245592e-07,1.133416425106089e-09,-0.03223014615078261,0.08200657097217474,2.571135810903667e-09,2.4881344157549534e-09
2505.0,2.835068016734367e-07,1.3859782817663236e-09,-0.00507376115641303,0.10632922910183885,2.3320884846985375e-09,2.2088073937853655e-09
2655.0,3.2388037402746075e-07,1.5990314040792973e-09,-0.09677724929602552,0.13308135103087854,2.1263425595960593e-09,2.057411885731188e-09
2805.0,3.8326417750657903e-07,1.5697445103727923e-09,-0.048282925807045185,0.1444204711392434,1.9496333599214452e-09,1.93540855509758e-09
2955.0,3.1977156139775366e-07,1.1389789224511008e-09,-0.0658586008868259,0.1153107279269427,1.7970030813015447e-09,1.3783058734312734e-09
